Id,Contenuto,Immagine
37,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Cuba_libre,https://it.wikipedia.org/w/api.php?action=query&titles=Cuba_libre&prop=pageimages&format=json&pithumbsize=536
38,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=French_75,https://it.wikipedia.org/w/api.php?action=query&titles=French_75&prop=pageimages&format=json&pithumbsize=537
39,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=French_Connection_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=French_Connection_(cocktail)&prop=pageimages&format=json&pithumbsize=538
40,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Godfather,https://it.wikipedia.org/w/api.php?action=query&titles=Godfather&prop=pageimages&format=json&pithumbsize=539
41,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Godmother,https://it.wikipedia.org/w/api.php?action=query&titles=Godmother&prop=pageimages&format=json&pithumbsize=540
42,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Golden_dream,https://it.wikipedia.org/w/api.php?action=query&titles=Golden_dream&prop=pageimages&format=json&pithumbsize=541
43,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Grasshopper_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Grasshopper_(cocktail)&prop=pageimages&format=json&pithumbsize=542
44,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Harvey_Wallbanger,https://it.wikipedia.org/w/api.php?action=query&titles=Harvey_Wallbanger&prop=pageimages&format=json&pithumbsize=543
45,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Hemingway_Special,https://it.wikipedia.org/w/api.php?action=query&titles=Hemingway_Special&prop=pageimages&format=json&pithumbsize=544
46,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Horses_Neck,https://it.wikipedia.org/w/api.php?action=query&titles=Horses_Neck&prop=pageimages&format=json&pithumbsize=545
47,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Irish_coffee,https://it.wikipedia.org/w/api.php?action=query&titles=Irish_coffee&prop=pageimages&format=json&pithumbsize=546
48,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Kir_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Kir_(cocktail)&prop=pageimages&format=json&pithumbsize=547
49,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Long_Island_Iced_Tea,https://it.wikipedia.org/w/api.php?action=query&titles=Long_Island_Iced_Tea&prop=pageimages&format=json&pithumbsize=548
50,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Mai_Tai,https://it.wikipedia.org/w/api.php?action=query&titles=Mai_Tai&prop=pageimages&format=json&pithumbsize=549
51,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Margarita_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Margarita_(cocktail)&prop=pageimages&format=json&pithumbsize=550
52,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Mimosa_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Mimosa_(cocktail)&prop=pageimages&format=json&pithumbsize=551
53,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Mojito,https://it.wikipedia.org/w/api.php?action=query&titles=Mojito&prop=pageimages&format=json&pithumbsize=552
54,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Moscow_mule,https://it.wikipedia.org/w/api.php?action=query&titles=Moscow_mule&prop=pageimages&format=json&pithumbsize=553
55,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Mint_Julep,https://it.wikipedia.org/w/api.php?action=query&titles=Mint_Julep&prop=pageimages&format=json&pithumbsize=554
56,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Piña_Colada,https://it.wikipedia.org/w/api.php?action=query&titles=Piña_Colada&prop=pageimages&format=json&pithumbsize=555
57,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Rose_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Rose_(cocktail)&prop=pageimages&format=json&pithumbsize=556
58,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Sea_Breeze,https://it.wikipedia.org/w/api.php?action=query&titles=Sea_Breeze&prop=pageimages&format=json&pithumbsize=557
59,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Sex_on_the_Beach,https://it.wikipedia.org/w/api.php?action=query&titles=Sex_on_the_Beach&prop=pageimages&format=json&pithumbsize=558
60,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Singapore_Sling,https://it.wikipedia.org/w/api.php?action=query&titles=Singapore_Sling&prop=pageimages&format=json&pithumbsize=559
61,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Tequila_Sunrise_(cocktail) ,https://it.wikipedia.org/w/api.php?action=query&titles=Tequila_Sunrise_(cocktail) &prop=pageimages&format=json&pithumbsize=560
62,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Barracuda_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Barracuda_(cocktail)&prop=pageimages&format=json&pithumbsize=561
63,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Bramble,https://it.wikipedia.org/w/api.php?action=query&titles=Bramble&prop=pageimages&format=json&pithumbsize=562
64,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=B-52_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=B-52_(cocktail)&prop=pageimages&format=json&pithumbsize=563
65,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Dark_n_Stormy,https://it.wikipedia.org/w/api.php?action=query&titles=Dark_n_Stormy&prop=pageimages&format=json&pithumbsize=564
